"trial","apr","Finxed_var","Annual_fee","BK"
1,"14.9","Fixed","0","150"
2,"14.9","Fixed","0","200"
3,"14.9","Fixed","0","250"
10,"14.9","Variable","20","150"
11,"14.9","Variable","20","200"
12,"14.9","Variable","20","250"
14,"16.8","Fixed","0","200"
16,"16.8","Fixed","20","150"
18,"16.8","Fixed","20","250"
19,"16.8","Variable","0","150"
21,"16.8","Variable","0","250"
23,"16.8","Variable","20","200"
26,"19.8","Fixed","0","200"
28,"19.8","Fixed","20","150"
30,"19.8","Fixed","20","250"
31,"19.8","Variable","0","150"
33,"19.8","Variable","0","250"
35,"19.8","Variable","20","200"
