apr,Fixed_var,Annual_fee,BK,Nr_Sent,respd,num_resp
14.9,Fixed,$20,150,0,Resp,0
14.9,Var.,$20,150,NA,Resp,41
14.9,Fixed,$0,150,NA,Resp,156
14.9,Var.,$0,150,0,Resp,0
16.8,Fixed,$20,150,NA,Resp,10
16.8,Var.,$20,150,0,Resp,0
16.8,Fixed,$0,150,0,Resp,0
16.8,Var.,$0,150,NA,Resp,53
19.8,Fixed,$20,150,NA,Resp,7
19.8,Var.,$20,150,0,Resp,0
19.8,Fixed,$0,150,0,Resp,0
19.8,Var.,$0,150,NA,Resp,45
14.9,Fixed,$20,200,0,Resp,0
14.9,Var.,$20,200,NA,Resp,56
14.9,Fixed,$0,200,NA,Resp,187
14.9,Var.,$0,200,0,Resp,0
16.8,Fixed,$20,200,0,Resp,0
16.8,Var.,$20,200,NA,Resp,15
16.8,Fixed,$0,200,NA,Resp,84
16.8,Var.,$0,200,0,Resp,0
19.8,Fixed,$20,200,0,Resp,0
19.8,Var.,$20,200,0,Resp,0
19.8,Fixed,$0,200,NA,Resp,52
19.8,Var.,$0,200,0,Resp,0
14.9,Fixed,$20,250,0,Resp,0
14.9,Var.,$20,250,NA,Resp,68
14.9,Fixed,$0,250,0,Resp,0
14.9,Var.,$0,250,0,Resp,0
16.8,Fixed,$20,250,NA,Resp,25
16.8,Var.,$20,250,0,Resp,0
16.8,Fixed,$0,250,0,Resp,0
16.8,Var.,$0,250,NA,Resp,83
19.8,Fixed,$20,250,NA,Resp,14
19.8,Var.,$20,250,0,Resp,0
19.8,Fixed,$0,250,0,Resp,0
19.8,Var.,$0,250,NA,Resp,62
14.9,Fixed,$20,150,0,Non_resp,0
14.9,Var.,$20,150,NA,Non_resp,3959
14.9,Fixed,$0,150,NA,Non_resp,3844
14.9,Var.,$0,150,0,Non_resp,0
16.8,Fixed,$20,150,NA,Non_resp,3990
16.8,Var.,$20,150,0,Non_resp,0
16.8,Fixed,$0,150,0,Non_resp,0
16.8,Var.,$0,150,NA,Non_resp,3947
19.8,Fixed,$20,150,NA,Non_resp,3993
19.8,Var.,$20,150,0,Non_resp,0
19.8,Fixed,$0,150,0,Non_resp,0
19.8,Var.,$0,150,NA,Non_resp,3955
14.9,Fixed,$20,200,0,Non_resp,0
14.9,Var.,$20,200,NA,Non_resp,3944
14.9,Fixed,$0,200,NA,Non_resp,3813
14.9,Var.,$0,200,0,Non_resp,0
16.8,Fixed,$20,200,0,Non_resp,0
16.8,Var.,$20,200,NA,Non_resp,3985
16.8,Fixed,$0,200,NA,Non_resp,3916
16.8,Var.,$0,200,0,Non_resp,0
19.8,Fixed,$20,200,0,Non_resp,0
19.8,Var.,$20,200,0,Non_resp,0
19.8,Fixed,$0,200,NA,Non_resp,3948
19.8,Var.,$0,200,0,Non_resp,0
14.9,Fixed,$20,250,0,Non_resp,0
14.9,Var.,$20,250,NA,Non_resp,3932
14.9,Fixed,$0,250,0,Non_resp,0
14.9,Var.,$0,250,0,Non_resp,0
16.8,Fixed,$20,250,NA,Non_resp,3975
16.8,Var.,$20,250,0,Non_resp,0
16.8,Fixed,$0,250,0,Non_resp,0
16.8,Var.,$0,250,NA,Non_resp,3917
19.8,Fixed,$20,250,NA,Non_resp,3986
19.8,Var.,$20,250,0,Non_resp,0
19.8,Fixed,$0,250,0,Non_resp,0
19.8,Var.,$0,250,NA,Non_resp,3938
